"Type","PartNumber","Dealer Cost","Item Description","In Stock","RetailPrice","Is Discontinued","MAP Price"
"Shield (Outer)","02-601",29.99,"Arrow Pinlock and Tearoff Ready Outer Face Shield Clear","25",49.98,"False",49.98
"Shield (Outer)","02-602",29.99,"Arrow Outer Face Shield Dark Smoke","61",49.98,"False",49.98
"Tear-Offs","02-603",11.99,"Arrow Tear-Off Clear 5 pieces","8",19.98,"False",19.98
"Chin Curtain","02-604",2.37,"Arrow Chin Curtain Black","19",3.95,"True",3.95
"Shield (Outer)","02-605",29.99,"Arrow Outer Face Shield Silver Iridium","22",49.98,"False",49.98
"Shield (Outer)","02-608",26.99,"Assault/Rapid/Stream Outer Face Shield Clear","0",44.98,"True",44.98
"Pinlock | Pinlock Accessory","02-610",26.99,"Assault/Breaker/Rapid/Stream Pinlock Max Insert Clear","8",44.98,"False",44.98
"Shield (Outer)","02-611",26.99,"Assault/Rapid/Stream Pinlock Ready Outer Face Shield Clear","312",44.98,"False",44.98
"Shield (Outer)","02-612",26.99,"Assault/Rapid/Stream Pinlock Ready Outer Face Shield Dark Smoke","160",44.98,"False",44.98
"Shield (Outer)","02-613",26.99,"Assault/Rapid/Stream Pinlock Ready Outer Face Shield Silver Iridium","259",44.98,"False",44.98
"Shield (Inner Drop Down)","02-614",8.99,"Stream SunShield Dark Smoke","29",14.98,"False",14.98
"Shield (Inner Drop Down)","02-615",8.99,"Stream SunShield Amber","34",14.98,"False",14.98
"Shield (Inner Drop Down)","02-616",8.99,"Stream SunShield Clear","132",14.98,"False",14.98
"Shield (Inner Drop Down)","02-618",8.99,"Horizon/Strobe/Track/Verso/Vortex/Copter SunShield Clear","62",14.98,"False",14.98
"Chin Curtain","02-619",2.37,"Strobe Chin Curtain Black","26",3.95,"False",3.95
"Neck Roll","02-620",5.97,"Strobe Neck Roll Black L-3XL","19",9.95,"True",9.95
"Neck Roll","02-621",5.97,"Stream Neck Roll Black","19",9.95,"True",9.95
"Base Plate","02-625",8.99,"Citation/Breaker Shield Base Plate Black","20",14.98,"False",14.98
"Base Plate","02-627",8.99,"Infinity Shield Base Plate Black","21",14.98,"True",0
"Neck Roll","02-628",5.97,"Track Neck Roll Black","21",9.95,"True",9.95
"Shield (Inner Drop Down)","02-633",8.99,"Horizon/Strobe/Track/Verso/Vortex/Copter SunShield Amber","3",14.98,"False",14.98
"Shield (Inner Drop Down)","02-634",8.99,"Horizon/Strobe/Track/Verso/Vortex/Copter SunShield Dark Smoke","173",14.98,"False",14.98
"Base Plate","02-635",8.99,"Arrow Shield Base Plate Black","0",14.98,"False",14.98
"Base Plate","02-636",8.99,"Assault/Rapid/Stream Shield Base Plate Black","208",14.98,"False",14.98
"Neck Roll","02-638",5.97,"Infinity Neck Roll Black XS/S","5",9.95,"True",0
"Neck Roll","02-639",5.97,"Infinity Neck Roll Black M/L","4",9.95,"True",0
"Neck Roll","02-640",5.97,"Infinity Neck Roll Black XL/2XL/3XL","5",9.95,"True",0
"Cheek Pad (Regular)","02-641",14.99,"Strobe Cheek Pad Black XS","11",24.98,"True",24.98
"Cheek Pad (Regular)","02-642",14.99,"Strobe Cheek Pad Black S","10",24.98,"True",24.98
"Cheek Pad (Regular)","02-643",14.99,"Strobe Cheek Pad Black M","101",24.98,"True",24.98
"Cheek Pad (Regular)","02-644",14.99,"Strobe Cheek Pad Black L","28",24.98,"True",24.98
"Cheek Pad (Regular)","02-645",14.99,"Strobe Cheek Pad Black XL","22",24.98,"True",24.98
"Cheek Pad (Regular)","02-646",14.99,"Strobe Cheek Pad Black 2XL","22",24.98,"True",24.98
"Cheek Pad (Regular)","02-647",14.99,"Strobe Cheek Pad Black 3XL","9",24.98,"True",24.98
"Breath Deflector","02-648",1.17,"Arrow Breath Deflector Black","97",1.95,"True",1.95
"Breath Deflector","02-649",1.17,"Stream Breath Deflector Black","192",1.95,"True",1.95
"Liner","02-651",14.99,"Strobe Liner Black XS","4",24.98,"True",24.98
"Liner","02-652",14.99,"Strobe Liner Black S","6",24.98,"True",24.98
"Liner","02-653",14.99,"Strobe Liner Black M","101",24.98,"True",24.98
"Liner","02-654",14.99,"Strobe Liner Black L","11",24.98,"True",24.98
"Liner","02-655",14.99,"Strobe Liner Black XL","19",24.98,"True",24.98
"Liner","02-656",14.99,"Strobe Liner Black 2XL","18",24.98,"True",24.98
"Liner","02-657",14.99,"Strobe Liner Black 3XL","8",24.98,"True",24.98
"Breath Deflector","02-658",1.17,"Citation Breath Deflector Black","6",1.95,"True",1.95
"Breath Deflector","02-659",1.17,"Metro Breath Deflector Black","0",1.95,"True",1.95
"Shield (Outer)","02-660",17.99,"Cabrio Outer Face Shield Clear","0",29.98,"True",29.98
"Shield (Outer)","02-661",17.99,"Cabrio Outer Face Shield Silver Iridium","0",29.98,"True",29.98
"Parts/Accessories","02-663",5.99,"Cabrio 2 7/8 Inch Plate Copper","0",9.98,"True",9.98
"Shield (Outer)","02-664",17.99,"Cabrio Outer Face Shield Dark Smoke","0",29.98,"True",29.98
"Screws and Mechanisms","02-665",5.99,"Cabrio Screws Copper","14",9.98,"True",9.98
"Shield (Inner Drop Down)","02-671",8.99,"Cabrio SunShield Dark Smoke","0",14.98,"True",14.98
"Shield (Outer)","02-673",17.99,"Infinity Outer Face Shield Dark Smoke","6",29.98,"True",0
"Shield (Outer)","02-674",17.99,"Infinity Outer Face Shield Silver Iridium","8",29.98,"True",0
"Shield (Outer)","02-676",26.99,"Blaze/Pioneer Outer Face Shield Clear","0",44.98,"False",44.98
"Shield (Outer)","02-677",26.99,"Blaze/Pioneer Pinlock Ready Outer Face Shield Dark Smoke","10",44.98,"False",44.98
"Shield (Outer)","02-678",26.99,"Blaze/Pioneer Pinlock Ready Outer Face Shield Silver Iridium","65",44.98,"False",44.98
"Cheek Pad (Regular)","02-681",14.99,"Citation Cheek Pad Black XS","0",24.98,"True",24.98
"Cheek Pad (Regular)","02-682",14.99,"Citation Cheek Pad Black S","0",24.98,"True",24.98
"Cheek Pad (Regular)","02-683",14.99,"Citation Cheek Pad Black M","0",24.98,"True",24.98
"Cheek Pad (Regular)","02-684",14.99,"Citation Cheek Pad Black L","0",24.98,"True",24.98
"Cheek Pad (Regular)","02-685",14.99,"Citation Cheek Pad Black XL","0",24.98,"True",24.98
"Cheek Pad (Regular)","02-686",14.99,"Citation Cheek Pad Black 2XL","0",24.98,"True",24.98
"Cheek Pad (Regular)","02-687",14.99,"Citation Cheek Pad Black 3XL","0",24.98,"True",24.98
"Neck Roll","02-688",5.97,"Citation Neck Roll Black XS/S","0",9.95,"True",9.95
"Neck Roll","02-689",5.97,"Citation Neck Roll Black M/L","0",9.95,"True",9.95
"Neck Roll","02-690",5.97,"Citation Neck Roll Black XL/2XL/3XL","0",9.95,"True",9.95
"Liner","02-691",14.99,"Citation Liner Black XS","10",24.98,"True",24.98
"Liner","02-692",14.99,"Citation Liner Black S","10",24.98,"True",24.98
"Liner","02-693",14.99,"Citation Liner Black M","9",24.98,"True",24.98
"Liner","02-694",14.99,"Citation Liner Black L","8",24.98,"True",24.98
"Liner","02-695",14.99,"Citation Liner Black XL","7",24.98,"True",24.98
"Liner","02-696",14.99,"Citation Liner Black 2XL","8",24.98,"True",24.98
"Liner","02-697",14.99,"Citation Liner Black 3XL","9",24.98,"True",24.98
"Chin Curtain","02-700",2.37,"Stream Chin Curtain Black","41",3.95,"False",3.95
"Shield (Outer)","02-702",23.99,"Citation Outer Face Shield Silver Iridium","0",39.98,"True",39.98
"Shield (Outer)","02-703",23.99,"Citation Outer Face Shield Dark Smoke","0",39.98,"True",39.98
"Shield (Inner Drop Down)","02-704",11.99,"Challenger/Citation/Valiant/Infinity/Metro/Pioneer/Breaker SunShield Dark Smoke","518",19.98,"True",19.98
"Shield (Inner Drop Down)","02-705",11.99,"Challenger/Citation/Valiant/Infinity/Metro/Pioneer/Breaker SunShield Light Smoke","0",19.98,"True",19.98
"Shield (Outer)","02-706",23.99,"Citation Outer Face Shield Clear","60",39.98,"True",39.98
"Breath Deflector","02-707",5.99,"MX & Adventure Snow Breath Box Black XS/S","57",9.98,"True",9.98
"Breath Deflector","02-708",5.99,"MX & Adventure Snow Breath Box Black M/L/XL/2XL/3XL","162",9.98,"True",9.98
"Shield (Outer)","02-712",17.97,"Metro Outer Face Shield Dark Smoke","0",29.95,"True",29.95
"Pinlock | Pinlock Accessory","02-717",2.99,"Advant/Assault/Breaker/Rapid/Stream/Vortex/Valiant/Blaze/Pioneer/Challenger Pinlock Pins Clea","86",4.98,"False",4.98
"Tear-Offs","02-718",2.99,"Thunder/Arrow Pinlock/Tear-off Pins Clear","61",4.98,"False",4.98
"Pinlock | Pinlock Accessory","02-719",2.99,"Strobe/FF386 Pinlock Pins Clear","8",4.98,"False",4.98
"Cheek Pad (Regular)","02-761",11.99,"Pioneer Cheek Pad XS","0",19.98,"True",0
"Cheek Pad (Regular)","02-762",11.99,"Pioneer Cheek Pad S","0",19.98,"True",0
"Cheek Pad (Regular)","02-763",11.99,"Pioneer Cheek Pad M","0",19.98,"True",0
"Cheek Pad (Regular)","02-765",11.99,"Pioneer Cheek Pad XL","0",19.98,"True",0
"Cheek Pad (Regular)","02-766",11.99,"Pioneer Cheek Pad 2XL","0",19.98,"True",0
"Cheek Pad (Regular)","02-767",11.99,"Pioneer Cheek Pad 3XL","0",19.98,"True",0
"Liner","02-771",11.99,"Pioneer Liner XS","0",19.98,"True",0
"Liner","02-772",11.99,"Pioneer Liner S","0",19.98,"True",0
"Liner","02-773",11.99,"Pioneer Liner M","0",19.98,"True",0
"Liner","02-774",11.99,"Pioneer Liner L","0",19.98,"True",0
"Liner","02-775",11.99,"Pioneer Liner XL","0",19.98,"True",0
"Liner","02-777",11.99,"Pioneer Liner 3XL","0",19.98,"True",0
"Screws and Mechanisms","02-778",2.99,"Blaze/Pioneer Top Screws Black","19",4.98,"True",4.98
"Screws and Mechanisms","02-779",4.79,"Blaze/Pioneer Peak/Shld Screw Set Black","182",7.98,"True",7.98
"Liner","02-781",14.99,"Arrow Liner Black XS","39",24.98,"True",24.98
"Liner","02-782",14.99,"Arrow Liner Black S","22",24.98,"True",24.98
"Liner","02-783",14.99,"Arrow Liner Black M","73",24.98,"True",24.98
"Liner","02-784",14.99,"Arrow Liner Black L","43",24.98,"True",24.98
"Liner","02-785",14.99,"Arrow Liner Black XL","22",24.98,"True",24.98
"Liner","02-786",14.99,"Arrow Liner Black 2XL","61",24.98,"True",24.98
"Cheek Pad (Regular)","02-791",14.99,"Arrow Cheek Pad Black XS","20",24.98,"True",24.98
"Cheek Pad (Regular)","02-792",14.99,"Arrow Cheek Pad Black S","22",24.98,"True",24.98
"Cheek Pad (Regular)","02-793",14.99,"Arrow Cheek Pad Black M","9",24.98,"True",24.98
"Cheek Pad (Regular)","02-794",14.99,"Arrow Cheek Pad Black L","1",24.98,"True",24.98
"Cheek Pad (Regular)","02-795",14.99,"Arrow Cheek Pad Black XL","17",24.98,"True",24.98
"Cheek Pad (Regular)","02-796",14.99,"Arrow Cheek Pad Black 2XL","25",24.98,"True",24.98
"Liner","02-811",14.99,"Stream Liner Black XS","18",24.98,"True",24.98
"Liner","02-812",14.99,"Stream Liner Black S","0",24.98,"True",24.98
"Liner","02-813",14.99,"Stream Liner Black M","24",24.98,"True",24.98
"Liner","02-814",14.99,"Stream Liner Black L","89",24.98,"True",24.98
"Liner","02-815",14.99,"Stream Liner Black XL","59",24.98,"True",24.98
"Liner","02-816",14.99,"Stream Liner Black 2XL","55",24.98,"True",24.98
"Cheek Pad (Regular)","02-911",14.99,"Stream Cheek Pad Black XS","31",24.98,"True",24.98
"Cheek Pad (Regular)","02-912",14.99,"Stream Cheek Pad Black S","0",24.98,"True",24.98
"Cheek Pad (Regular)","02-913",14.99,"Stream Cheek Pad Black M","138",24.98,"True",24.98
"Cheek Pad (Regular)","02-914",14.99,"Stream Cheek Pad Black L","154",24.98,"True",24.98
"Cheek Pad (Regular)","02-915",14.99,"Stream Cheek Pad Black XL","40",24.98,"True",24.98
"Cheek Pad (Regular)","02-916",14.99,"Stream Cheek Pad Black 2XL","220",24.98,"True",24.98
"Peaks","02-923",11.99,"Pioneer Peak Trigger Red","30",19.98,"True",0
"Peaks","02-924",11.99,"Pioneer Peak Trigger White","23",19.98,"True",0
"Peaks","02-925",11.99,"Pioneer Peak Trigger HiViz Yellow","31",19.98,"True",0
"Peaks","02-926",11.99,"Fast/Fast Mini Peak Explosive Green","4",19.98,"True",0
"Peaks","02-927",14.99,"Fast/Fast Mini Peak Explosive Yellow","5",24.98,"True",0
"Peaks","02-928",11.99,"Fast/Fast Mini Peak Race Gray","3",19.98,"True",0
"Peaks","02-929",11.99,"Fast/Fast Mini Peak Race Blue","4",19.98,"True",0
"Peaks","02-930",11.99,"Fast/Fast Mini Peak Race Red","5",19.98,"True",0
"Peaks","02-931",11.99,"Fast/Fast Mini Peak Race Orange","5",19.98,"True",0
"Peaks","02-932",11.99,"Fast/Fast Mini Peak Race Pink","5",19.98,"True",0
"Peaks","02-933",14.99,"Blaze/Pioneer Peak Solid Matte Black","21",24.98,"True",24.98
"Peaks","02-934",14.99,"Pioneer Peak Solid Gunmetal","2",24.98,"True",24.98
"Screws and Mechanisms","02-938",4.79,"Gate/Fast Screws Black","178",7.98,"True",7.98
"Screws and Mechanisms","02-969",2.39,"Track/Strobe Knob Set Black","9",3.98,"False",3.98
"Base Plate","02-995",8.99,"Blaze/Pioneer Shield Base Plate Black","120",14.98,"False",14.98
"Shield (Outer)","03-001",26.99,"Breaker Outer Face Shield Clear","77",44.98,"True",44.98
"Shield (Outer)","03-002",26.99,"Breaker Outer Face Shield Dark Smoke","56",44.98,"True",44.98
"Shield (Outer)","03-003",26.99,"Breaker Outer Face Shield Silver Iridium","65",44.98,"True",44.98
"Shield (Inner Drop Down)","03-004",11.99,"Rebellion SunShield Dark Smoke","38",19.98,"False",19.98
"Shield (Inner Drop Down)","03-005",11.99,"Rebellion SunShield Clear","0",19.98,"False",19.98
"Shield (Inner Drop Down)","03-006",11.99,"Rebellion SunShield Silver Iridium","3",19.98,"False",19.98
"Shield (Inner Drop Down)","03-007",11.99,"Rebellion SunShield Amber","47",19.98,"False",19.98
"Peaks","03-008",8.99,"Rebellion Peak Black","12",14.98,"False",14.98
"Shield (Outer)","03-009",26.99,"Street Fighter/Ohm Outer Face Shield Clear","179",44.98,"True",44.98
"Shield (Outer)","03-010",26.99,"Street Fighter/Ohm Outer Face Shield Dark Smoke","0",44.98,"True",44.98
"Neck Roll","03-057",5.97,"Challenger Neck Roll Black XL/2XL/3XL","2",9.95,"True",9.95
"Neck Roll","03-058",5.97,"Challenger Neck Roll Black XS/S/M/L","1",9.95,"True",9.95
"Base Plate","03-059",8.99,"Challenger Shield Base Plate Black","0",14.98,"False",14.98
"Breath Deflector","03-064",1.17,"Challenger Breath Deflector Black","9",1.95,"True",1.95
"Peaks","03-070",14.99,"Xtra Peak Carbon Style","4",24.98,"True",24.98
"Liner","03-071",14.99,"Xtra Liner Black XS","5",24.98,"True",24.98
"Liner","03-072",14.99,"Xtra Liner Black S","5",24.98,"True",24.98
"Liner","03-073",14.99,"Xtra Liner Black M","2",24.98,"True",24.98
"Liner","03-074",14.99,"Xtra Liner Black L","9",24.98,"True",24.98
"Liner","03-075",14.99,"Xtra Liner Black XL","8",24.98,"True",24.98
"Liner","03-076",14.99,"Xtra Liner Black 2XL","3",24.98,"True",24.98
"Liner","03-077",14.99,"Xtra Liner Black 3XL","2",24.98,"True",24.98
"Peaks","03-078",14.99,"Xtra Peak Matte Black","7",24.98,"True",24.98
"Chin Curtain","03-083",2.37,"Vortex Chin Curtain Black","0",3.95,"True",3.95
"Neck Roll","03-091",5.97,"Vortex Neck Roll Black XL/2XL","2",9.95,"True",9.95
"Neck Roll","03-092",5.97,"Vortex Neck Roll Black M/L","2",9.95,"True",9.95
"Shield (Outer)","03-094",26.99,"Vortex Pinlock Ready Outer Face Shield Blue Iridium","9",44.98,"True",44.98
"Shield (Outer)","03-095",26.99,"Vortex Pinlock Ready Outer Face Shield Silver Iridium","9",44.98,"True",44.98
"Shield (Outer)","03-096",26.99,"Vortex Pinlock Ready Outer Face Shield Gold Iridium","9",44.98,"True",44.98
"Cheek Pad (Regular)","03-101",14.99,"Breaker Cheek Pad Black XS","20",24.98,"True",24.98
"Cheek Pad (Regular)","03-102",14.99,"Breaker Cheek Pad Black S","102",24.98,"True",24.98
"Cheek Pad (Regular)","03-103",14.99,"Breaker Cheek Pad Black M","12",24.98,"True",24.98
"Cheek Pad (Regular)","03-104",14.99,"Breaker Cheek Pad Black L","204",24.98,"True",24.98
"Cheek Pad (Regular)","03-105",14.99,"Breaker Cheek Pad Black XL","9",24.98,"True",24.98
"Cheek Pad (Regular)","03-106",14.99,"Breaker Cheek Pad Black 2XL","27",24.98,"True",24.98
"Cheek Pad (Regular)","03-107",14.99,"Breaker Cheek Pad Black 3XL","16",24.98,"True",24.98
"Base Plate","03-108",8.99,"Street Fighter/Ohm Shield Base Plate Black","64",14.98,"True",14.98
"Screws and Mechanisms","03-109",4.79,"Street Fighter/Ohm Screws Black","113",7.98,"True",7.98
"Liner","03-111",14.99,"Breaker Liner Black XS","3",24.98,"True",24.98
"Liner","03-112",14.99,"Breaker Liner Black S","5",24.98,"True",24.98
"Liner","03-113",14.99,"Breaker Liner Black M","3",24.98,"True",24.98
"Liner","03-114",14.99,"Breaker Liner Black L","23",24.98,"True",24.98
"Liner","03-115",14.99,"Breaker Liner Black XL","11",24.98,"True",24.98
"Liner","03-116",14.99,"Breaker Liner Black 2XL","14",24.98,"True",24.98
"Liner","03-117",14.99,"Breaker Liner Black 3XL","7",24.98,"True",24.98
"Cheek Pad (Regular)","03-121",14.99,"Ohm Cheek Pad Black XS","0",24.98,"True",24.98
"Cheek Pad (Regular)","03-122",14.99,"Ohm Cheek Pad Black S","0",24.98,"True",24.98
"Cheek Pad (Regular)","03-123",14.99,"Ohm Cheek Pad Black M","0",24.98,"True",24.98
"Cheek Pad (Regular)","03-124",14.99,"Ohm Cheek Pad Black L","0",24.98,"True",24.98
"Cheek Pad (Regular)","03-125",14.99,"Ohm Cheek Pad Black XL","0",24.98,"True",24.98
"Cheek Pad (Regular)","03-126",14.99,"Ohm Cheek Pad Black 2XL","0",24.98,"True",24.98
"Liner","03-131",14.99,"Ohm Liner Black XS","0",24.98,"True",24.98
"Liner","03-132",14.99,"Ohm Liner Black S","0",24.98,"True",24.98
"Liner","03-133",14.99,"Ohm Liner Black M","0",24.98,"True",24.98
"Liner","03-134",14.99,"Ohm Liner Black L","0",24.98,"True",24.98
"Liner","03-135",14.99,"Ohm Liner Black XL","0",24.98,"True",24.98
"Liner","03-136",14.99,"Ohm Liner Black 2XL","0",24.98,"True",24.98
"Liner","03-141",14.99,"Rebellion Liner Black XS","19",24.98,"False",24.98
"Liner","03-142",14.99,"Rebellion Liner Black S","11",24.98,"False",24.98
"Liner","03-143",14.99,"Rebellion Liner Black M","98",24.98,"False",24.98
"Liner","03-144",14.99,"Rebellion Liner Black L","26",24.98,"False",24.98
"Liner","03-145",14.99,"Rebellion Liner Black XL","21",24.98,"False",24.98
"Liner","03-146",14.99,"Rebellion Liner Black 2XL","139",24.98,"False",24.98
"Ear Covers","03-147",8.97,"Rebellion Ear Covers","15",14.95,"False",14.95
"Peaks","03-151",14.99,"Pioneer Peak Element","3",24.98,"True",24.98
"Peaks","03-152",11.99,"Pioneer Peak Quarterback","5",19.98,"True",0
"Peaks","03-153",14.99,"Street Fighter/Ohm Peak Solid Matte Black","24",24.98,"True",24.98
"Peaks","03-156",14.99,"Fast/Fast Mini Peak Core","4",24.98,"True",0
"Peaks","03-157",14.99,"Fast/Fast Mini Peak Strong Blue/Red","8",24.98,"True",24.98
"Peaks","03-158",14.99,"Fast/Fast Mini Peak Strong Green/Pink","5",24.98,"True",0
"Peaks","03-159",14.99,"Fast V2 & Fast Mini V2 Peak Spot","3",24.98,"True",24.98
"Screws and Mechanisms","03-160",8.99,"Rebellion Bluetooth Ear Covers Black","9",14.98,"False",14.98
"Screws and Mechanisms","03-161",5.99,"Rebellion Peak Screws Black","40",9.98,"False",9.98
"Bluetooth or Bluetooth Accessory","03-162",125.99,"Rebellion Bluetooth Kit Generation 2","0",209.98,"True",209.98
"Chin Curtain","03-163",2.37,"Citation Chin Curtain Black","12",3.95,"True",3.95
"Breath Deflector","03-165",5.99,"Strobe Snow Breath Box 2017","163",9.98,"True",9.98
"Shield (Outer)","03-166",20.99,"Metro V3 Outer Face Shield Clear","1",34.98,"True",34.98
"Shield (Outer)","03-167",20.99,"Metro V3 Outer Face Shield Dark Smoke","0",34.98,"True",34.98
"Shield (Outer)","03-169",26.99,"Valiant Outer Face Shield Dark Smoke","44",44.98,"False",44.98
"Shield (Inner Drop Down)","03-171",11.99,"Challenger/Citation/Valiant/Infinity/Metro/Pioneer/Breaker SunShield Blue Iridium","0",19.98,"False",19.98
"Shield (Inner Drop Down)","03-172",8.99,"Spitfire SunShield Dark Smoke","148",14.98,"True",14.98
"Shield (Outer)","03-173",26.99,"Verso Outer Face Shield Clear","28",44.98,"False",44.98
"Shield (Outer)","03-174",26.99,"Verso Outer Face Shield Dark Smoke","33",44.98,"False",44.98
"Chin Curtain","03-175",3,"Metro V3 Chin Curtain Black","0",5,"True",5
"Peaks","03-176",14.99,"Verso Peak Matte Black","15",24.98,"True",24.98
"Peaks","03-177",11.99,"Metro V3 Peak Blackout","1",19.98,"True",19.98
"Peak Screws","03-178",2.99,"Metro V3 Peak Screws","5",4.98,"True",4.98
"Base Plate","03-179",8.99,"Metro V3 Shield Base Plate Black","37",14.98,"True",14.98
"Base Plate","03-180",5.99,"Verso Shield Base Plate Black","44",9.98,"True",9.98
"Liner","03-181",14.99,"Valiant Liner Black XS","78",24.98,"True",24.98
"Liner","03-182",14.99,"Valiant Liner Black S","112",24.98,"True",24.98
"Liner","03-183",14.99,"Valiant Liner Black M","71",24.98,"True",24.98
